PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Watches,"What's new about this watch is that it comes with a microfiber clip.  You can't go wrong with this watch, but if you're looking for an easy way to keep your hands warm while wearing the watch, I highly recommend this.",NON-GUIDED
Apparel,This was a gift for my husband and he loves it.  He has been wearing it since the age of 10 so we decided to give it a try.,NON-GUIDED
Home,"I have been using this for about a year now and it works great.  It is easy to set up, has the most features I could ask for as well as allows me to customize my own.",GUIDED
Books,"I went to Amazon and found this book.  It is a must read for anyone interested in learning more about the history of Man, as well as how it was written. http://www.amazon.",GUIDED
Wireless,My senior mother broke off of this wireless mouse when she was a little girl.  She has been using it for about 2 months now and I have not had any issues.,GUIDED
Camera,"Battery worked good for about a week.  The only thing I noticed was that the battery stopped working after just a few days of use.  So if you have an older phone, it will be fine too.",GUIDED
Sports,"Recently purchased a pair of these shoes.  They fit great and are very comfortable.  I wear them every day for about 3-4 hours each day to work out on my next project. I have bought several pairs in the past but they will not last me much longer than 2 weeks, so this one is no exception.  If you are looking for an easy way to keep your feet warm while running or swimming, these may be the shoe for you! The only reason I am giving 5 stars is that it does not come with a &#34;Shoes&#34; cap.  However, if you are looking for an easy way to keep your feet warm while running or swimming, these might be the shoe for you.",NON-GUIDED
Grocery,"Anytime.com is a great place to get the fresher and fresher products in your pantry.  I love that you can order them at any time, as long as you don't have to worry about dryness.",NON-GUIDED
Jewelry,They are very cheaply made.  I bought them for my husband and he loves them so much that we decided to give him a try.,GUIDED
Video DVD,This is not for the faint of heart.  It is a must have if you are going to watch movies on blu-ray or Blu-Ray.  You won't want to waste your time and money.,GUIDED
Pet Products,"kitty loves it.  It's a little hard to put together, but I'm very happy with the quality of the product.",GUIDED
Apparel,"After a few weeks of wearing it, I decided to try something different.  This is my second purchase from this company and the first time I've worn it in less than two months. Pros<br />- Easy to set up<br />- It's easy to set up<br />- Doesn't have too much room for your hands (and feet)<br />- Looks very nice on my wrist!<br />- Does not look as dirty as some other brands like [[ASIN:B00F9YJQ8]]. So far so good...<br />Cons<br />- The straps are difficult to get around but they don't seem to bother you at all if you take them off with just one hand instead of three or four<br />- You can adjust the strap height by changing the length of the strap - that would make it slightly easier to reach down.",NON-GUIDED
Grocery,Recently purchased this book.  It is a must read for anyone wanting to learn more about the history of man and his time. I would highly recommend this book if you are interested in learning more about the lives of men and women around the world during the Civil War.,NON-GUIDED
Video DVD,Excellent Concert....wish I could listen to more of this.,GUIDED
Watches,"Just what I was looking for.  This watch is made in China and looks like a real sapphire crystal.  It has a lot of features to it that make it easy to understand the finer points. The only thing i don't like about this watch is its design.  The face is very simple to read, so you have to figure out how to use it on your wrist.",NON-GUIDED
Luggage,"Not sure if this is a good product or not, but it's great.  I am very happy with the quality and color of the luggage.",NON-GUIDED
Tools,"This little gem is a great tool for everyday use.  I've used it many times over and have been very impressed with the quality of the product.  It's not difficult to find &#34;tools&#34; on Amazon, but you can't beat the price.",GUIDED
Sports,I'm not sure if this product is worth the money.,NON-GUIDED
Outdoors,Just what I was looking for.  This is a very well made product.  It has plenty of room in the back so you don't have to worry about it falling off or anything like that.  The only thing i had to do was put some tape on this one and make sure not to get too wet.,NON-GUIDED
Jewelry,"Very Pretty, Just what I was looking for.  The face is very pretty and the neck is a bit loose which makes it difficult to see from the outside.",GUIDED
PC,"Often times I have to go through a lot of hoops to get this item up and running.  This is the only one that works well for me. Pros:<br />-It's easy to set up, but it takes some getting used to...<br />-You don't have to worry about plugging in &#34;to&#34; so you can do everything.<br />-The included cables are pretty straight forward (I've had no problems with them)<br />-Cons:<br />-Unplugged cable doesn't seem to help much at all when plugged in<br />-Battery life seems to be very low compared to other USB 3.0 chargers out there.<br />-There aren't any external power connectors available on this device!<br />-Wireless charging isn't as good as my old battery powered ones.",NON-GUIDED
Kitchen,You can absolutely believe that this is made in China.  I live in the U.S.,GUIDED
Toys,I bought it as a gift for my daughter and she loves it.,GUIDED
Grocery,I purchased this for my husband and he loves it.  It is a good product but not worth the money.  I would definitely buy again.,GUIDED
Jewelry,"The jeweler loves it.  I bought two of these for my husband as a gift, and he loved them too.  They are very easy to set up (he has not used any tools yet), and they work well on his silver plating board.  He also likes the fact that there is plenty of room in the back where you can put more pieces of jewelry if needed.",NON-GUIDED
Automotive,"Rude, this is a great product.  I have had it for about 3 months now and am very pleased with the quality of the car.  It's easy to set up (once you turn it on/off) and has all the bells and whistles that my other electrician uses.",NON-GUIDED
Tools,I use them all the time.  They are very durable and easy to use.,GUIDED
Sports,"definitely not a high quality product. I bought this for my wife and she absolutely loves it. It is easy to set up, the instructions are very clear.",GUIDED
Video DVD,A great movie for kids and adults alike.  It is a must have if you are going to enjoy this film.,GUIDED
Video DVD,"Everyone saying this is a rip-off of the good old days when movies were limited to just DVDs and Blu-ray players.  However, it's true that today there are many better discs available for everyone.",GUIDED
Health & Personal Care,Washer washers and shavers were great.  They are a must have for anyone who wants to make sure their baby is healthy.,NON-GUIDED
Lawn and Garden,Avoid this product.  It is a lot more expensive than you think it would be for the price.,NON-GUIDED
Electronics,they made the solar panels work like a dream.  They are easy to install and I'm very happy with them.,GUIDED
Baby,"I'm starting to wonder if this product is worth the money.  I bought it for my 2 year old and she loves it. It's a little hard to put together, but you can figure out how to do that by hand.",GUIDED
PC,"This is a great product.  I have not had any problems with it, but if you are looking for something that will improve your gaming experience, this is the way to go.",GUIDED
Sports,"Bought two of these for my wife and I love them!  They are very well made, easy to set up, great price.  Would buy again if they were a little larger than the size listed.",GUIDED
PC,"This is my first gaming pc. I have been using it for over a year now and the sound quality is outstanding. It does not seem to interfere with games, but if you are looking for an inexpensive piece of equipment that will enhance your gaming experience, this may be the PC for you.",GUIDED
Luggage,Not my first time using this.  I have used it for a couple of days and no problems.  It is very comfortable to carry with me all the time.,GUIDED
Books,a dog tells what to look for and how to do it.<br />This book is a must read for anyone interested in learning more about dogs.,GUIDED
Kitchen,"its very good.  I have had it for a couple of weeks now and the instructions are simple to follow.  It is easy to set up, but you will need to be careful not to do anything wrong with your food or utensils.",GUIDED
Musical Instruments,"I've been using these for over a year now.  They are easy to set up, and the price is right.",NON-GUIDED
Home Entertainment,"Ok, I have to say that this is a good product.  It does what it's supposed to do and doesn't take up much room in the living room.  The only reason I didn't give it 5 stars is because of the low price. Pros:<br />- Easy set up<br />- Simple setup<br />- Remote control<br />- Bluetooth<br />- Wi-Fi<br />- Fast charging<br />- Support for Roku<br />- Online streaming<br />- Sound bar<br />- You can stream music directly from your computer via bluetooth without having to worry about plugging in any additional devices (iPad, iPod touch, etc)<br />Cons:<br />- Battery life seems to be very high compared to other Sony products so if you are running an older or overpowered home entertainment system then this may not be the case...",NON-GUIDED
Health & Personal Care,My husband and I have been using this product for many years.  It is the most effective way to help him feel better after a long period of use.,NON-GUIDED
Books,"Before I started this review, I wanted to give you a bit of background.  This is the first book I've read that deals with religious beliefs and how they can affect your decision making. There are many books out there that deal with some of the most important issues facing us today - whether we believe in God or not.  For example, St.",NON-GUIDED
Wireless,"Often times when I need to use my phone, I have to find a way to get it plugged into the wall.  This is exactly what I was looking for. I'm happy with this purchase and will be ordering more of these in the near future.",NON-GUIDED
Shoes,"I bought this for my husband and he loves it.  It is a great size, easy to put on and the quality is very good.",GUIDED
Camera,"Have used this for a couple of years now and it works great.  I have not had any problems with the camera, but if you are looking for something that will last longer then just be sure to check your lens before purchasing.",NON-GUIDED
Shoes,Super lightweight. Perfect size and looks great in person. Would recommend this to anyone looking for a heavy duty shoe.,GUIDED
Lawn and Garden,Have a pet that loves to play with it.,NON-GUIDED
Home,"These work great.  I have a lot of room in my living room and they are very easy to set up.  The only thing that bothered me about them is how long it takes for them to be installed.  So far, so good.",GUIDED
Home Entertainment,"There are already 156 titles in the series, so I thought this would be a good one.  The story is very well written and has some interesting plot twists that make it an entertaining read.",GUIDED
PC,I've been using this for about a month now and it works great.  I'm very happy with the quality of the product as far as performance is concerned.,NON-GUIDED
Sports,"Went in great condition. I love the fact that it comes with a power cord, so if you're looking for something to plug your TV into, this is what you need. It's very easy to set up and operate without having to do anything else. My only complaint is that there isn't any built-in audio capability at all. The speakers themselves aren't as loud as some of the other speaker manufacturers out there have.",NON-GUIDED
Wireless,"Often times I have to use a power strip at the end of my cable.  This is great because it allows you to charge your phone faster than any other wireless device out there. It's not as big or bulky as some others, but if you are looking for something that can be charged quickly and easily, this may be the answer.",NON-GUIDED
Musical Instruments,"I am an amateur drummer.  I have a lot of guitars, but these are very good for the money.  The only thing that surprised me was how easy they were to set up.",GUIDED
Lawn and Garden,"Goes together very well.  I love the fact that it is so easy to put together.  It does take some getting used to, but if you are looking for a quick way to do just that, this is one of them.",GUIDED
Home Improvement,"I was skeptical about this product, but it works great.  It's easy to install and use.",GUIDED
Electronics,I had problems connecting to my computer.  I do not have an internet connection but it is a good idea to set up your own wireless router.,GUIDED
Musical Instruments,Beautiful sound.  I'm very pleased with this product and would recommend to anyone looking for a guitar that can play classical music.,NON-GUIDED
Kitchen,"Firstly, let me start by saying that I am not a big fan of the French style coffee maker.  This one is made in France and has been around for many years.  However, after trying to make my way through the U.S., I decided to try something different.  There are so many things you can't do with this machine: 1. It takes less than an hour to assemble. 2. You have to be very careful when it comes to making your morning coffee. 3. If you don't want to use any kind of heat source (e.g. hot-brewed coffee), this will probably only take about 5 minutes depending on where you set it. 4. The instructions aren't easy to follow even if you know what you're doing.",NON-GUIDED
Wireless,"It's a little pricey, but you can get it for less than what you pay.  I bought this to replace my old wireless router that had an ethernet cable and was able to hook up the internet without any issues. Pros<br />- Easy to set up<br />- Relay/Netflix<br />Cons<br />- Wasn't very happy with the quality of the interface (other than that one)<br />- It took me about 10 minutes to figure out how to use it on my home network so long as there were no problems. Cons<br />- You have to be careful when setting up your Internet connection if you don't want to go into all the trouble of switching between different devices or services.",NON-GUIDED
Electronics,Our daughter loves to play with it.  It is a great little toy for her and she enjoys playing with it all the time.,NON-GUIDED
Baby,Booked for my 2 year old son and he loves it.  He is very pleased with the quality of the product.,NON-GUIDED
Office Products,My purpose of this product is to help my husband and I get ready for a new job.<br />I have been looking for an office tool that will provide the tools we need in our home.,GUIDED
Camera,"I was looking for a camera that could capture all kinds of insects and plants.  This is the first camera I have used in over a year. It took me about an hour to get it up and running, but after several hours my phone started vibrating loudly from time to time.",GUIDED
Toys,Poorly made.,GUIDED
Sports,"These are great for the price.  The quality is good, but I'm not sure if it's because they don't fit well in my pocket or something like that.",GUIDED
Musical Instruments,"I'd like to say that this is a very good instrument for beginners.  I've been using it all the time and have never had any problems. It's got some really nice sounding strings, but you can't really use them as much as they are in my opinion.  The bass isn't great at all (as far as tuning).  It's not super loud or high-pitched - just so you know what?  In other words, if you don't want to listen to music from an acoustic standpoint, try these! The only reason I didn't give it 5 stars was because of the lack of clarity on the string itself.  That being said, there aren't too many instruments out there that make such a huge amount of noise.",NON-GUIDED
Lawn and Garden,"I've had this for about a year now.  It's so much easier to put together than I imagined it would be.  The colors are great, the wood is very pretty (it's not mahogany like some of my neighbors think).  My only complaint is that there aren't any instructions on how to set up or even what to do. First off, let me start with the first thing you need to know:<br />1. You have to go into the main room in order to get access to the garage door.  If you don't want to enter the garage door, then just open the front door and close the door.  There should be no opening at all between the two doors.  This will allow you to use both sides as long as you're willing to compromise your entry/outdoor access. 2.",NON-GUIDED
Luggage,Overall quality is good.  Arrived on time and was very happy with it.  I would recommend this bag to anyone who needs a carry-on luggage.,NON-GUIDED
Tools,"Despite the low price, I am very satisfied with this product.  It is easy to use and has a lot of room for my tools.",NON-GUIDED
Video DVD,"Power couple Kit - I bought this for my wife and she loves it.  It is very easy to set up and use, but the manual does not give you much instructions on how to install or what to do.",GUIDED
Books,I love the books.  I would recommend this book to anyone who is interested in learning more about history. http://www.amazon.,GUIDED
Wireless,Meets my expectations.  I am happy with this purchase and will be ordering another one soon.,NON-GUIDED
PC,"This product is exactly what we were looking for.  It works great, and has a lot of room to spare.  I have not had any problems with it so far; however, there are no issues whatsoever.",GUIDED
Pet Products,I bought this for my 7 year old son.  He loves it and is very pleased with the quality of the product.,GUIDED
Grocery,Recently purchased this for my son.  He loves it and is very pleased with the quality of the product.,NON-GUIDED
Grocery,"Anytime.com is a great place to get some of the best stuff for your local grocery store. I bought this as a Christmas gift for my wife and she loves it!  She has been using it many times already, so I am sure she will use it every now and then when she does not want to spend any more time looking at buying things from here on out.",NON-GUIDED
Shoes,Love these clip-ons.  They are very comfortable and easy to use.,GUIDED
PC,"Nice little piece for the price.  I bought it to use with my laptop and was pleasantly surprised at how easy it is to set up. Pros:<br />- Easy to set up, no need to worry about a hard drive in case your computer goes dead or if you have an external hard drive (e.g.",NON-GUIDED
Office Products,"Simply put, this product is a great value.  It's easy to use and has the added bonus of being able to customize what you need in your office.",NON-GUIDED
Pet Products,For 30 or more dollars a bottle of this product is exactly what I was looking for.  It's very durable and easy to use.,GUIDED
Watches,"The watch looks great and the price is right.  The only reason I didn't give it 5 stars was because of the small size, but that's not a big deal.",GUIDED
Tools,"If you are looking for a quick and easy to use tool, this is the one.  It's exactly what I was looking for.",NON-GUIDED
Outdoors,"Sadly, the snowfall this year was so bad that I decided to give it a try.  It's hard to get rid of the holes in the front and back sides when you can't open them or close them at all.  The only thing I didn't like was how long it would last for me.",GUIDED
Camera,"Used this for my Nikon D3-D and it works great.  I have no complaints about the camera, but once you get used to it is definitely worth every penny.",NON-GUIDED
Grocery,"They work great.  I am not a big fan of garlic, but this is the best thing to have in your pantry.",NON-GUIDED
Home Improvement,Attended this product well.  It is easy to install and has a lot of room for all kinds of items.  The only complaint I have is that the screws are not centered properly so you can't really see them. I would recommend this product as it allows you to adjust the amount of space in your home improvement unit by adjusting the height of the screws rather than simply adding or removing the screws when necessary.,NON-GUIDED
Automotive,"The Heininger 3059 is one of the best motorcycles I've ever owned.  It has a very good feel to it, and you can't beat the price.",GUIDED
Musical Instruments,Excellent value.  I would recommend this to anyone looking for a guitar that can be played without any problems.,NON-GUIDED
Wireless,"While this is a good product, it does not have any problems.  You will need to hook up your cell phone in order to access the wireless network. If you are looking for an easy way to get around the monthly fees charged by Verizon or AT&T, I would recommend this device.  If you are looking for something that can be used as a WiFi hotspot (for example Wi-Fi only) and don't want to spend hundreds of dollars on anything else, then this one is definitely there.",NON-GUIDED
Video DVD,"Both my kids and myself enjoy watching these movies.<br />The Blu ray player is great, but it does not allow you to watch all the action scenes in one movie.",GUIDED
Video Games,"This game is amazing. It has tons of replayable moments and it was a pleasure to play this game. The graphics are great, the controls are fun too.",GUIDED
Automotive,"Anyhow, this is a great car.  It's easy to set up and operate without having to worry about the batteries falling off. The only complaint I have with it is that you can't adjust the height of the steering wheel if your hands are too far away from the steering wheel.  This may not be an issue for me as my hands tend to move around much more than most other types of vehicles.  However, there are plenty of options available on this very wide variety of wheels.  For example, let's say we're going to drive our Honda CRV at 65 mph (62 kph).  Let's say we want to drive our Honda CRV at 85 mph (62 kph).  Then let's say we need to turn left or right depending on how long the speed range is.",NON-GUIDED
Sports,"Checker is a great product.  I have been using it for over a year now and am very impressed with the quality of the product.  My only complaint is that if you are looking for an easy to use tool, this may not be the best choice.",NON-GUIDED
Musical Instruments,"Generally speaking, this is a good instrument for beginners.  It's very well balanced and easy to set up.  I've used it many times in my acoustic guitar class as well.",NON-GUIDED
PC,"Aftermarketer sent us a replacement for the one we had purchased.  Aftermarketer sent us a replacement for the one we had purchased.  We have not returned any of our products from this company, and I do not know if they are defective.",NON-GUIDED
Pet Products,I have been using this product for about 3 months now.  It has held up very well and is easy to use.,GUIDED
Pet Products,One loves it.  I have been using it for over a year now and am very happy with my purchase.,GUIDED
Toys,"Avoiding Toys&#34; are a lot of toys that don't have the bells and whistles.  This toy is made in China, so it's not something you're going to be able to buy from anywhere else.  The only thing I liked about this toy was how easy it can be to put together.  There were no instructions on how to assemble or even how to install.",NON-GUIDED
Jewelry,What's new for me is that I can't find a jewelry store anywhere else.  This item was delivered on time and the instructions were right.,NON-GUIDED
Outdoors,"I'd like to say that this is a very good tool.  It's easy to use and I've had it for about 3 months now.  The only thing i have noticed is the size of the screw holes, not the screws themselves.",NON-GUIDED
Furniture,"Seriously, this is one of the best furniture I have ever owned.  It looks and feels like it will last a very long time.  The only reason I didn't give it 5 stars was because my wife said she would not put it on top of her bed in front of me while we were having lunch.",NON-GUIDED
Kitchen,"Received my peeler yesterday and it works great.  It is very easy to put together, has a lot of room in the kitchen and doesn't have too much space on the counter.",GUIDED
Jewelry,"Seriously, this is one of the best jewelry I've ever owned.  It's beautiful and it looks like a real piece of jewelry.",NON-GUIDED
Baby,"My 3 year old loves these.  They are easy to put together and look like they will last a long time. I also love the fact that they can be hung up in an upright position so you don't have to worry about them falling off of your bed.  I'm not sure if it's because my 4 year old doesn't want to fall asleep on her bed, but she just wants to sleep with her mom! The only complaint I have is that there isn't enough room for one side or part of the base to hold all the baby stuff (like diapers).  That being said, we're still trying to figure out how to place our little pajama pieces into each other's cribs as well.  It took me awhile to figure this out...but then again, nothing has been figured out yet.",NON-GUIDED
Luggage,We bought this luggage for our 2 1/2 year old and she loves it!  She is very happy with the quality of the luggage.  We will definitely be ordering more in the future.,NON-GUIDED
Lawn and Garden,"Was shipped quickly,bag was easy to put together.  I would not recommend this product if you are looking for a bag that can hold all of your plants in one place.",GUIDED
Home,This picture is amazing.  The pictures are beautiful and the sound is great.,GUIDED
Shoes,Going to buy another pair of these for my granddaughter.,NON-GUIDED
Home,"Nice product for the price.  I have a lot of room in my living room and it's easy to put together.  My only complaint is that there are no instructions on how to set up, but you can do so with just one hand.",NON-GUIDED
Outdoors,"Ok, but this is a really good product.  The only complaint I have with it is that you can't see through the holes in the back of your vehicle. I would definitely recommend this product to anyone looking for something more rugged and durable.",NON-GUIDED
Musical Instruments,"Oh man, this is the best guitar I've ever owned.  If you're looking for an instrument that can be played on your own without any interference from other musicians, here's my review: I bought it to use with my MP3 player.",GUIDED
Luggage,"I used this luggage carrier for a couple of years and it worked great.  I was very pleased with the quality, as well as the price.",GUIDED
Shoes,I had taped my shoes to the wall and they fit perfectly.,GUIDED
Musical Instruments,"For what it is, I have never been disappointed with these instruments.  They are easy to set up and very affordable. I love the fact that they can be played in a variety of styles from classical to orchestral.",GUIDED
Jewelry,The bracelet is beautiful.,GUIDED
Jewelry,"The bracelet is very cheaply made. I bought it for my husband's wedding and he loves it. He wears it everyday, but when we went out to the beach this was his go-to item.",GUIDED
Baby,I'm starting to get used to the fact that my baby is born with cystic fibrosis.  I've always had this condition and it's been a real pain in the butt.,GUIDED
Pet Products,"Do yourself a favor and buy this product for your dog.  We have dogs who like to chew on things, but they don't get too excited when we take them out of the crate. It's easy to put together because it's so much easier to assemble than anything else I've owned before.",NON-GUIDED
Camera,So glad I bought this camera for my daughter. She loves it and is very happy with the quality of the pictures.,GUIDED
Shoes,"These boots are a must have for anyone looking for quality shoes.  I wear them all the time and they fit great!  They look just like their shoe, but don't get too excited about that.",GUIDED
Toys,"Poorly made.  I bought this for my 2 year old daughter and she loves it.  It is not sturdy enough to hold all of the toys in place, so you have to be careful when putting them together.  The only thing i would say is that there are no instructions on how to set up.",GUIDED
Grocery,"They sell well, but I have to say they are a bit pricey.  If you don't know what is inside the box, it's pretty hard to find anything inside.",GUIDED
Sports,"Often forgettable.  This is one of the best games I've ever seen. I'm not a big fan of sports, but this game makes you feel like you're in real life.  You don't have to go out and buy clothes or anything that will make you happy.  It's pretty much all there is to enjoy! The graphics are really good too.  The only complaint I have is it doesn't look very realistic at all.  That being said, if you can't play as many video games as you want, then odds are you won't be able to watch any of these games.  If you can't figure out how to do that, then what else can you do?  For example, playing Mario Kart 8 on Wii U isn't possible without having some sort of glitchy sound effect for your ears.",NON-GUIDED
Video Games,"Precise and accurate.  I have not played any of the games that came with it, but if you are looking for a video game to do some background checks on your computer then this is the way to go.",GUIDED
Luggage,"I love this bag.  It's big enough to hold a lot of stuff, and holds all kinds of things I need it for.  The only thing i don't like is that there are pockets on the bottom so you can carry everything in your suitcase. The color is really nice too.",GUIDED
Tools,"Seriously, this is the worst product I've ever used.  It doesn't hold up very well and does not even close to what you would expect it to do.",NON-GUIDED
Outdoors,"Got this for my husband and he loves it.  We have a lot of holes in the back, so I don't know how they will hold up when we get home from work.  It's easy to put together but not super tight at all.  The only thing I would say is that if you are looking for an inexpensive way to store your tools (or spare parts) then this might be the best tool out there.",NON-GUIDED
Watches,This product is a great value for the money.  I wear it every day and have been very pleased with my purchase.,GUIDED
Wireless,"After a while it seemed to be working just fine. I am not sure if that is the case, but for now i will try and update my review.",GUIDED
Tools,"At first I was a bit sceptical about the quality of the wood, but after some research and looking at other reviews I decided to give it a try. I have been using this for over a year now. It has held up very well with no damage from any type of malnourished person in my life. My only complaint is that if you are not careful enough to use your hand or fingers to cut through an entire piece of wood (or anything like that). If you are going to be cutting large amounts of wood then this may work just fine as long as you don't put too much effort into making sure everything is straightened properly.",NON-GUIDED
PC,"Attended this game as a birthday present for my 3 year old daughter.  She loves it so much she can play with it all the time. The graphics are good and the story is fun.  I'm not sure if there's anything wrong with that, but you get what you pay for.",NON-GUIDED
Shoes,"Nice, but they are too big for my size.  I was worried about the quality of the shoes that came with them (I'm not sure if it's true or not).",NON-GUIDED
Office Products,"After a few months of use, this product is now ready to go.  I have been using it for about 2 weeks now and am very happy with the results.",NON-GUIDED
Wireless,Arrived quickly and was very easy to install. I would recommend this product for anyone looking for a wireless router. Pros:<br />- Built in Wi-Fi capability that can be turned on/off by turning off the Wifi feature (not included)<br />- 802.11a/b/g/n speed up with Bluetooth 4.,NON-GUIDED
Lawn and Garden,Sometimes I don't realize how much I love this product.  It is so simple to put together that it takes up a lot of space in the back yard.  The only thing I didn't like was the lack of instructions on how to make sure you are doing everything correctly.,NON-GUIDED
Lawn and Garden,Got it stuck in my garage door for a few days now.  I can't believe how much longer this was going to be able to get rid of all the junk that had already been piled up on top of it.  The only thing keeping it standing is there's not enough dust left over.,GUIDED
Lawn and Garden,Great product.,NON-GUIDED
Video Games,I really liked this game.  It has a lot of fun and the graphics are great.,GUIDED
Home,Going Home was a great book for kids and adults alike.  This is an excellent introduction to the subject.,NON-GUIDED
Home,"Very reasonable price I bought this for my son and he loves it. It is easy to set up, has a lot of bells and whistles. The only complaint I have is that the wires are not long enough (about 3-4&#34; long) so you can't really tell if they are cut in half by hand or not.",NON-GUIDED
Home Entertainment,Keeps working hard to make it easier for us kids to enjoy their games.,GUIDED
Luggage,Used it for a trip to the Dominican Republic.,NON-GUIDED
Baby,The Infant is in excellent condition.  I have not had any issues with it so far and am very happy with the purchase.,GUIDED
Books,Meets the World.  I read a lot of books online and decided to give this book a try.,NON-GUIDED
Beauty,I have been using this product for a couple of years now and love it so much.  It has made me feel like I'm in the middle of something that needs to be done quickly.,GUIDED
Furniture,"Despite the fact that it is made in China, I am very happy with this item.  It looks great and has a lot of room to spare if you are looking for something more exotic or stylish.  The only reason I didn't give it 5 stars was due to its poor design.",NON-GUIDED
Books,Arrived in a timely manner.<br />I am very happy with this book.  I will continue to use it for many years to come.,NON-GUIDED
Health & Personal Care,"My mother is a big fan of this product. I have tried many different products and they are all great! She has never had any problems with it, but she seems to be very happy with the product.",GUIDED
Video Games,Got this game for my son.  He loves it.,NON-GUIDED
PC,"Replaced an older model with the newer one.  I'm not sure if this is a good thing or not, but it's nice to have and that you don't have to worry about re-purchasing from another vendor...",GUIDED
Apparel,"Very good quality.  I bought this for my husband and he loves it.  He is 5'9&#34; and weighs 250 pounds.  The material seems to be a little softer than the picture, but not too soft.  It was very easy to put on and out of the box. I would definitely buy again.",NON-GUIDED
Automotive,"Aftermarket parts were delivered, I needed a new one.  This is the first time I have used an auto repair kit in less than two years. I am very pleased with this purchase and will continue to use it for many years to come.",NON-GUIDED
Kitchen,"I start with hot food.  I don't know what it's like to cook in the kitchen, but my husband is always looking for something that doesn't take up too much space.",GUIDED
Electronics,"It would be nice if I could make my own.  However, it is a little hard for me to get rid of the &#34;electronics&#34; that are used by most electronics makers.",GUIDED
Baby,"My 2 year old loves this bag.  She is very pleased with it.  It has a lot of room to put her clothes in, so you don't have to worry about getting dirty or anything.",NON-GUIDED
Home,I received this as a Christmas gift for my son.,GUIDED
Office Products,Not much to say.  I am very satisfied with this product and will be ordering more products soon.,GUIDED
Tools,Well made and very durable.  The only thing i don't like about this is that it doesn't come with a charger so you have to carry it in case of emergencies.,NON-GUIDED
Toys,I was sent the wrong size for my son. He loves them so much that he ordered a second one. He is 5'9&#34; and weighs 185 lbs.,GUIDED
Furniture,"This is my second purchase from this company.  The first time I saw it, I was so excited to see how well it performed. I am very pleased with the quality and look of this item.",GUIDED
Electronics,Got this as a gift for my son.  He loves it and has been using it since he was 10 years old.,GUIDED
Wireless,Arrived quickly and was very easy to set up.  The only complaint I have is that the wires are not long enough so you can't see them.,NON-GUIDED
Pet Products,Looked up reviews on this product.  I was very pleased with the quality of the product.  It is easy to use and has a lot of room for your pet products.  The only reason I didn't give it 5 stars would be if you have pets that are allergic to peanut butter.,GUIDED
Video Games,"Arrived quickly and I was very pleased with this game.  The graphics are beautiful and the story is fun.  It's a bit of a challenge to figure out how to do it, but once you've figured that out, there's no excuse for not doing it.",GUIDED
Books,The first three books I read were very hard to find on the internet.,GUIDED
Toys,"good size and this is a great product.  I bought it for my 7 year old son who likes to play with toys so that he can get his hands on them.  He loves the fact that they are made in China, which makes him very happy.",GUIDED
